protein_id,genes,time,fraction,intensity
P60766,Cdc42,30min,1,10310556.499999998
P61021,Rab5b,30min,1,1200309.9999999998
P61022,Chp1,30min,1,826946.0
P61027,Rab10,30min,1,14676501.0
P61028,Rab8b,30min,1,27789525.0
P61161,Actr2,30min,1,6901790.0
P61164,Actr1a,30min,1,1118089.9999999981
P61226,Rap2b,30min,1,8719297.000000002
P61358,Rpl27,30min,1,1012109.9999999998
P61514,Rpl37a,30min,1,551422.0
P61620,Sec61a1,30min,1,2626450.0
P61750,Arf4,30min,1,1254530.0000000019
P61804,Dad1,30min,1,7302630.0
P62071,Rras2,30min,1,401857.9999999999
P62082,Rps7,30min,1,1516710.0
P62242,Rps8,30min,1,5382700.000000015
P62245,Rps15a,30min,1,1444040.9999999981
P62267,Rps23,30min,1,2175918.0
P62270,Rps18,30min,1,1871738.0
P62281,Rps11,30min,1,6333480.0
P62301,Rps13,30min,1,2970980.0
P62315,Snrpd1,30min,1,492802.9999999999
P62317,Snrpd2,30min,1,710856.0
P62320,Snrpd3,30min,1,363454.99999999994
P62702,Rps4x,30min,1,4703307.0
P62717,Rpl18a,30min,1,2943260.0
P62751,Rpl23a,30min,1,357779.49999999907
P62754,Rps6,30min,1,9145010.0
P62806,H4c1,30min,1,831529.0000000019
P62814,Atp6v1b2,30min,1,6092740.0
P62821,Rab1a,30min,1,11949921.0
P62827,Ran,30min,1,3565170.0
P62835,Rap1a,30min,1,1184199.999999999
P62843,Rps15,30min,1,582162.0
P62849,Rps24,30min,1,61454.099999997765
P62852,Rps25,30min,1,360271.00000000186
P62855,Rps26,30min,1,1180733.9999999981
P62858,Rps28,30min,1,1709897.0000000075
P62874,Gnb1,30min,1,2909646.5000000075
P62880,Gnb2,30min,1,9716415.499999996
P62889,Rpl30,30min,1,2110809.0
P62900,Rpl31,30min,1,2104340.0
P62908,Rps3,30min,1,798565.0000000037
P62911,Rpl32,30min,1,2065222.0000000075
P62918,Rpl8,30min,1,10214500.0
P62962,Pfn1,30min,1,971245.9999999997
P62983,Rps27a,30min,1,1274242.0
P63001,Rac1,30min,1,719217.9999999998
P63017,Hspa8,30min,1,19892497.0
P63024,Vamp3,30min,1,2384810.000000003
P63038,Hspd1,30min,1,2651349.9999999963
P63213,Gng2,30min,1,645429.0
P63276,Rps17,30min,1,160838.00000000093
P63321,Rala,30min,1,2172170.0
P63325,Rps10,30min,1,1362639.9999999995
P67778,Phb1,30min,1,24280989.999999996
P68254,Ywhaq,30min,1,333492.99999999907
P68368,Tuba4a,30min,1,1968530.0
P68433,H3c1,30min,1,2081280.0
P70158,Smpdl3a,30min,1,68316.09999999999
P70168,Kpnb1,30min,1,622831.0000000019
P70227,Itpr3,30min,1,1203874.999999999
P70248,Myo1f,30min,1,5044550.000000004
P70280,Vamp7,30min,1,5200970.0
P70295,Aup1,30min,1,3469418.0
P70302,Stim1,30min,1,2283993.5
P70387,Hfe,30min,1,386422.0
P70452,Stx4,30min,1,1985757.0
P70704,Atp8a1,30min,1,1724160.9999999995
P80315,Cct4,30min,1,136493.0
P80316,Cct5,30min,1,280497.99999999994
P81117,Nucb2,30min,1,170151.99999999997
P84078,Arf1,30min,1,308824.99999999953
P84084,Arf5,30min,1,1087355.999999999
P84091,Ap2m1,30min,1,1283340.0
P84096,Rhog,30min,1,7581855.0
P97351,Rps3a,30min,1,3352819.999999985
P97370,Atp1b3,30min,1,3460392.0
P97390,Vps45,30min,1,664823.0
P97449,Anpep,30min,1,25757925.999999993
P97450,Atp5pf,30min,1,3949009.9999999925
P97484,Pirb,30min,1,570479.0000000005
P97797,Sirpa,30min,1,1957070.0
P97808,Fxyd5,30min,1,829697.0000000005
P98195,Atp9b,30min,1,3061700.0
P98197,Atp11a,30min,1,913613.0
P99024,Tubb5,30min,1,2015540.0
P99027,Rplp2,30min,1,12152098.0
P99028,Uqcrh,30min,1,7347186.5
Q00941,Csf2ra,30min,1,2030821.0
Q00PI9,Hnrnpul2,30min,1,304022.00000000093
Q01853,Vcp,30min,1,6606124.999999998
Q03265,Atp5f1a,30min,1,100287700.0
Q05144,Rac2,30min,1,5023120.0
Q05910,Adam8,30min,1,776686.0
Q06185,Atp5me,30min,1,18758923.999999993
Q07113,Igf2r,30min,1,74984.20000000019
Q07813,Bax,30min,1,454934.0
Q08857,Cd36,30min,1,46448475.0
Q09014,Ncf1,30min,1,465067.0
Q09200,B4galnt1,30min,1,13148029.999999998
Q18PI6,Cd84,30min,1,10435430.000000004
Q2TBE6,Pi4k2a,30min,1,1351549.999999999
Q3TAS6,Emc10,30min,1,2405899.9999999995
Q3TBT3,Sting1,30min,1,8769214.999999996
Q3TCT4,Entpd7,30min,1,155610.99999999953
Q3TDN2,Faf2,30min,1,2307093.999999999
Q3TDQ1,Stt3b,30min,1,28002376.0
Q3THE2,Myl12b,30min,1,160391700.0
Q3TP92,Ctdnep1,30min,1,1629362.999999999
Q3TVP5,Otulinl,30min,1,571554.0
Q3TWL2,Pip4p1,30min,1,12821499.999999996
Q3TYS2,Cybc1,30min,1,2471010.0
Q3TZZ7,Esyt2,30min,1,3339170.0
Q3U2S8,Hvcn1,30min,1,1767410.000000001
Q3U7R1,Esyt1,30min,1,11038580.0
Q3UDF0,Slc2a6,30min,1,7978559.0
Q3UDR8,Yipf3,30min,1,123976.0
Q3UDW8,Hgsnat,30min,1,2206140.0
Q3UHN9,Ndst1,30min,1,99135.49999999953
Q3UN02,Lclat1,30min,1,1658352.0
