,protein_id,CCprofiler_count,SPADE_count
1585,Q3TJ22,1.0,1.0
1586,Q3TJD7,1.0,1.0
1593,Q3TLI0,1.0,1.0
1594,Q3TLS3,1.0,1.0
1595,Q3TMH2,1.0,1.0
1597,Q3TNA1,1.0,1.0
1603,Q3TQB2,1.0,1.0
1606,Q3TTY5,1.0,1.0
1607,Q3TUH1,1.0,1.0
1609,Q3TVP5,1.0,1.0
1614,Q3TX08,1.0,1.0
1619,Q3TYX3,1.0,1.0
1625,Q3U0K8,1.0,1.0
1644,Q3U3Q1,1.0,1.0
1649,Q3U4G3,1.0,1.0
1650,Q3U5F4,1.0,1.0
1659,Q3UBX0,1.0,1.0
1662,Q3UDF0,1.0,1.0
1665,Q3UDR8,1.0,1.0
1671,Q3UFY7,1.0,1.0
1675,Q3UGR5,1.0,1.0
1676,Q3UGS4,1.0,1.0
1697,Q3UJB9,1.0,1.0
1709,Q3UM29,1.0,1.0
1719,Q3UN02,1.0,1.0
1720,Q3UN04,1.0,1.0
1731,Q3URD3,1.0,1.0
1732,Q3URE1,1.0,1.0
1734,Q3URS9,1.0,1.0
1735,Q3USB7,2.0,2.0
1736,Q3USW5,1.0,1.0
1738,Q3UTZ3,1.0,1.0
1739,Q3UU43,1.0,1.0
1754,Q3V009,1.0,1.0
1755,Q3V0C5,1.5,1.5
1757,Q3V1T4,1.0,1.0
1761,Q3V3R4,1.0,1.0
1762,Q3V460,1.0,1.0
1765,Q499X9,1.0,1.0
1771,Q4PZA2,1.0,1.0
1773,Q4VA53,1.0,1.0
1774,Q4VAA2,1.0,1.0
1775,Q4VBD2,1.0,1.0
1783,Q505B7,1.0,1.0
1784,Q505F5,1.0,1.0
1792,Q571E4,1.0,1.0
1800,Q5DU37,1.0,1.0
1806,Q5FWK3,1.1666666666666667,1.1666666666666667
1817,Q5SNZ0,1.0,1.0
1826,Q5SUC9,1.3333333333333333,1.3333333333333333
1827,Q5SUF2,2.0,2.0
1843,Q5U5M8,1.0,1.0
1846,Q5XG73,1.0,1.0
1849,Q5XPI3,1.0,1.0
1862,Q60649,1.0,1.0
1864,Q60668,1.0,1.0
1867,Q60680,1.0,1.0
1868,Q60692,1.0,1.0
1870,Q60714,1.3333333333333333,1.3333333333333333
1875,Q60754,1.0,1.0
1880,Q60772,1.0,1.0
1893,Q60866,1.0,1.0
1900,Q60932,1.0,1.0
1902,Q60953,2.0,2.0
1920,Q61070,1.0,1.0
1921,Q61072,1.0,1.0
1934,Q61133,1.0,1.0
1935,Q61136,1.0,1.0
1938,Q61152,1.0,1.0
1939,Q61160,1.0,1.0
1940,Q61161,1.0,1.0
1943,Q61166,1.0,1.0
1945,Q61176,1.0,1.0
1950,Q61205,1.0,1.0
1955,Q61233,1.0,1.0
1960,Q61285,1.0,1.0
1963,Q61334,1.0,1.0
1968,Q61425,1.0,1.0
1969,Q61462,1.0,1.0
1971,Q61466,1.0,1.0
1976,Q61510,1.6666666666666667,1.6666666666666667
1980,Q61549,1.0,1.0
1984,Q61578,1.0,1.0
1986,Q61586,1.0,1.0
1992,Q61646,1.0,1.0
1995,Q61666,1.0,1.0
2001,Q61733,1.3333333333333333,1.3333333333333333
2002,Q61735,1.0,1.0
2003,Q61739,1.0,1.0
2018,Q62035,1.0,1.0
2020,Q62048,1.0,1.0
2023,Q62084,1.0,1.0
2028,Q62120,1.0,1.0
2040,Q62261,2.0,2.0
2043,Q62311,1.0,1.0
2044,Q62313,1.0,1.0
2050,Q62384,1.0,1.0
2053,Q62407,1.0,1.0
2061,Q62446,1.0,1.0
2070,Q64010,1.0,1.0
2075,Q64105,1.0,1.0
2076,Q64112,1.0,1.0
2077,Q64133,1.0,1.0
2078,Q64152,1.0,1.0
2080,Q64261,1.0,1.0
2082,Q64282,1.0,1.0
2083,Q64287,1.0,1.0
2084,Q64310,1.0,1.0
2085,Q64311,1.0,1.0
2094,Q64433,1.0,1.0
2098,Q64455,1.0,1.0
2104,Q64520,1.0,1.0
2108,Q64669,1.0,1.0
2119,Q673H1,1.0,1.0
2134,Q69ZN6,1.0,1.0
2140,Q6A009,1.0,1.0
2145,Q6A068,1.0,1.0
2151,Q6AW69,1.0,1.0
2162,Q6DTY7,1.0,1.0
2171,Q6IRU5,1.0,1.0
2172,Q6KAR6,1.0,1.0
2175,Q6KCD5,1.0,1.0
2176,Q6NSQ9,1.0,1.0
2195,Q6NZQ4,1.0,1.0
2197,Q6P069,1.0,1.0
2208,Q6P3D0,1.0,1.0
2211,Q6P4T0,1.0,1.0
2216,Q6P5D8,1.0,1.0
2219,Q6P5F7,1.0,1.0
2226,Q6P6L0,1.0,1.0
2229,Q6P7W5,1.0,1.0
2231,Q6P8M1,1.0,1.0
2237,Q6P9Q6,1.1666666666666667,1.1666666666666667
2243,Q6PAR5,2.0,2.0
2244,Q6PAT0,1.0,1.0
2257,Q6PDL0,1.0,1.0
2258,Q6PDM2,1.0,1.0
2260,Q6PDY2,1.0,1.0
2285,Q6PNC0,1.0,1.0
2294,Q6S5C2,1.0,1.0
2298,Q6SKR2,1.0,1.0
2301,Q6VNB8,1.0,1.0
2313,Q6ZPJ3,1.0,1.0
2316,Q6ZPR6,1.0,1.0
2318,Q6ZPU9,1.0,1.0
2327,Q6ZQ88,1.5,1.5
2329,Q6ZQB6,1.5,1.5
2330,Q6ZQH8,1.0,1.0
2335,Q6ZWM4,1.0,1.0
2338,Q6ZWQ7,1.0,1.0
2345,Q70FJ1,1.0,1.0
2348,Q71KT5,1.0,1.0
2350,Q71RI9,1.0,1.0
2360,Q78JT3,1.0,1.0
2362,Q78PG9,1.0,1.0
2365,Q78ZA7,1.3333333333333333,1.3333333333333333
2371,Q7M759,1.0,1.0
2379,Q7TMR0,1.0,1.0
2381,Q7TMW6,1.0,1.0
2382,Q7TMY4,1.0,1.0
2386,Q7TN22,1.0,1.0
2397,Q7TPH6,1.0,1.0
2400,Q7TPV4,1.5,1.5
2405,Q7TQK1,1.0,1.0
2408,Q7TS68,1.0,1.0
2411,Q7TSH2,1.0,1.0
2416,Q7TSQ8,1.0,1.0
2420,Q7TT37,1.0,1.0
2425,Q80SY4,2.0,2.0
2437,Q80TN4,1.0,1.0
2438,Q80TP3,1.0,1.0
2441,Q80TR8,1.0,1.0
2443,Q80TY0,1.3333333333333333,1.3333333333333333
2444,Q80TY5,1.0,1.0
2446,Q80U56,1.0,1.0
2455,Q80UJ7,1.0,1.0
2470,Q80UY1,1.0,1.0
2475,Q80V86,1.0,1.0
2478,Q80VD1,2.0,2.0
2480,Q80VJ3,1.0,1.0
2486,Q80W54,1.0,1.0
2492,Q80WQ6,1.0,1.0
2495,Q80X41,1.0,1.0
2497,Q80X71,1.0,1.0
2500,Q80X85,1.0,1.0
2504,Q80XC2,1.0,1.0
2505,Q80XD1,1.0,1.0
2509,Q80XK6,1.0,1.0
2514,Q80XR2,1.0,1.0
2515,Q80XU3,1.0,1.0
2520,Q80Y98,1.0,1.0
2522,Q80YA7,1.1666666666666667,1.1666666666666667
2525,Q80YQ2,1.0,1.0
2526,Q80YQ8,1.0,1.0
2529,Q80YV3,1.0,1.0
2535,Q80ZQ9,1.0,1.0
2536,Q80ZS3,1.0,1.0
2537,Q80ZV0,1.0,1.0
2545,Q810S1,1.0,1.0
2548,Q811I0,1.0,1.0
2549,Q811J3,1.0,1.0
2559,Q8BFS6,1.0,1.0
2562,Q8BFW4,1.0,1.0
2568,Q8BG05,1.0,1.0
2569,Q8BG07,1.0,1.0
2572,Q8BG51,1.0,1.0
2574,Q8BG67,1.0,1.0
2575,Q8BG81,1.0,1.0
2579,Q8BGB7,1.0,1.0
2581,Q8BGC4,1.0,1.0
2583,Q8BGD9,1.3333333333333333,1.3333333333333333
2585,Q8BGF6,1.0,1.0
2586,Q8BGG7,1.1666666666666667,1.1666666666666667
2591,Q8BGR2,1.0,1.0
2592,Q8BGR8,1.0,1.0
2593,Q8BGR9,1.0,1.0
2600,Q8BGV0,1.0,1.0
2601,Q8BGW1,1.0,1.0
2603,Q8BGZ4,1.0,1.0
2620,Q8BHA3,1.0,1.0
2622,Q8BHC9,1.0,1.0
2627,Q8BHG2,1.0,1.0
2633,Q8BHL8,2.0,2.0
2636,Q8BHS3,1.0,1.0
2638,Q8BHX1,1.0,1.0
2643,Q8BIE6,1.0,1.0
2644,Q8BIG7,1.0,1.0
2645,Q8BIH0,1.0,1.0
2647,Q8BIJ7,1.3333333333333333,1.3333333333333333
2655,Q8BJ63,1.0,1.0
2657,Q8BJF9,1.0,1.0
2666,Q8BJZ4,1.0,1.0
2677,Q8BKT7,1.0,1.0
2685,Q8BLF1,1.0,1.0
2690,Q8BLY7,1.0,1.0
2697,Q8BMD5,1.0,1.0
2699,Q8BMF4,1.5,1.5
2701,Q8BMI0,1.0,1.0
2716,Q8BN82,1.0,1.0
2719,Q8BP40,1.0,1.0
2722,Q8BP56,1.0,1.0
2726,Q8BPB0,1.0,1.0
2727,Q8BPG6,1.0,1.0
2730,Q8BPX9,1.0,1.0
2731,Q8BPZ8,1.0,1.0
2733,Q8BQ47,1.0,1.0
2735,Q8BQX5,1.0,1.0
2736,Q8BQZ4,1.0,1.0
2739,Q8BR65,1.0,1.0
2742,Q8BRH0,1.0,1.0
2745,Q8BRT1,1.3333333333333333,1.3333333333333333
2746,Q8BS95,1.0,1.0
2758,Q8BTS3,1.0,1.0
2762,Q8BTV1,1.0,1.0
2768,Q8BTZ4,1.0,1.0
2787,Q8BUV8,1.0,1.0
2788,Q8BUY9,1.0,1.0
2789,Q8BV13,1.0,1.0
2790,Q8BV49,1.5,1.5
2795,Q8BVI4,1.0,1.0
2802,Q8BVW0,1.0,1.0
2811,Q8BWF0,1.0,1.0
2812,Q8BWG8,1.0,1.0
2814,Q8BWH0,1.0,1.0
2820,Q8BWU5,1.0,1.0
2822,Q8BWY3,1.0,1.0
2823,Q8BWY4,1.0,1.0
2828,Q8BX10,1.0,1.0
2837,Q8BXJ2,1.0,1.0
2841,Q8BXQ2,1.0,1.0
2848,Q8BYB9,1.0,1.0
2855,Q8BYM8,1.0,1.0
2857,Q8BYW1,1.6666666666666667,1.6666666666666667
2858,Q8BYW9,1.0,1.0
2860,Q8BZ00,1.0,1.0
2861,Q8BZ20,1.0,1.0
2862,Q8BZ36,1.0,1.0
2863,Q8BZ60,1.0,1.0
2865,Q8BZA9,1.0,1.0
2869,Q8BZQ7,1.0,1.0
2871,Q8BZT9,1.0,1.0
2872,Q8BZW8,1.0,1.0
2881,Q8C0E2,1.0,1.0
2884,Q8C0I1,1.0,1.0
2888,Q8C0L6,1.0,1.0
2889,Q8C0L8,1.0,1.0
2890,Q8C0L9,1.0,1.0
2892,Q8C0P5,1.0,1.0
2897,Q8C156,1.0,1.0
2899,Q8C167,1.0,1.0
2900,Q8C172,1.0,1.0
2905,Q8C1F4,1.0,1.0
2909,Q8C2A2,1.0,1.0
2914,Q8C3B8,1.0,1.0
2920,Q8C3X2,1.0,1.0
2921,Q8C3X4,1.0,1.0
2922,Q8C3X8,1.0,1.0
2925,Q8C4B4,1.0,1.0
2926,Q8C4Q6,1.0,1.0
2927,Q8C4V1,1.0,1.0
2931,Q8C561,1.0,1.0
2934,Q8C5H8,1.0,1.0
2939,Q8C5Q4,1.0,1.0
2941,Q8C5W3,1.0,1.0
2943,Q8C6B0,1.0,1.0
2946,Q8C6I2,1.0,1.0
2947,Q8C6U2,1.0,1.0
2952,Q8C7Q4,1.0,1.0
2957,Q8C854,1.0,1.0
2962,Q8C9S8,1.0,1.0
2966,Q8CAB8,1.0,1.0
2970,Q8CAY6,1.0,1.0
2981,Q8CBY0,1.0,1.0
2986,Q8CCB4,1.0,1.0
3004,Q8CEC6,1.0,1.0
3022,Q8CG46,1.0,1.0
3023,Q8CG47,1.0,1.0
3024,Q8CG48,1.1666666666666667,1.1666666666666667
3027,Q8CG72,1.0,1.0
3029,Q8CGA0,1.0,1.0
3036,Q8CGU1,1.0,1.0
3045,Q8CHI8,1.0,1.0
3046,Q8CHK3,1.0,1.0
3047,Q8CHP5,1.0,1.0
3051,Q8CHT0,1.0,1.0
3052,Q8CHT3,1.0,1.0
3061,Q8CI59,1.0,1.0
3063,Q8CI70,1.0,1.0
3064,Q8CI71,1.0,1.0
3082,Q8CIV8,2.0,2.0
3087,Q8JZL3,1.0,1.0
3104,Q8K0C1,1.0,1.0
3110,Q8K0Q5,1.0,1.0
3111,Q8K0T0,1.0,1.0
3116,Q8K135,1.0,1.0
3117,Q8K157,1.0,1.0
3123,Q8K1E6,1.0,1.0
3128,Q8K1J6,1.0,1.0
3129,Q8K1L5,1.0,1.0
3147,Q8K296,1.0,1.0
3151,Q8K2C6,1.0,1.0
3154,Q8K2C9,1.0,1.0
3158,Q8K2I1,1.0,1.0
3165,Q8K2Q7,1.0,1.0
3168,Q8K2T4,1.0,1.0
3171,Q8K2V6,1.0,1.0
3174,Q8K2Y7,1.0,1.0
3176,Q8K2Z2,1.0,1.0
3177,Q8K2Z4,1.0,1.0
3180,Q8K337,1.0,1.0
3182,Q8K354,1.0,1.0
3183,Q8K358,1.0,1.0
3184,Q8K363,2.0,2.0
3186,Q8K370,2.0,2.0
3190,Q8K3C3,1.0,1.0
