,protein_id,CCprofiler_count,SPADE_count,highest_count_group
259,O35074,0.0,1.0,SPADE
260,O35075,0.0,1.5,SPADE
263,O35127,1.0,3.0,SPADE
264,O35129,1.0,1.1666666666666667,SPADE
265,O35134,1.3333333333333333,1.0,CCprofiler
266,O35143,2.0,1.1666666666666667,CCprofiler
267,O35144,0.0,1.2,SPADE
268,O35166,1.3333333333333333,1.5,SPADE
269,O35207,1.0,1.8,SPADE
271,O35218,2.0,1.1666666666666667,CCprofiler
272,O35226,1.0,2.0,SPADE
273,O35239,1.0,2.0,SPADE
274,O35242,1.0,1.8,SPADE
275,O35250,1.2,1.0,CCprofiler
276,O35286,0.0,2.1666666666666665,SPADE
277,O35295,1.0,1.1666666666666667,SPADE
279,O35309,1.0,1.8333333333333333,SPADE
280,O35326,1.0,1.6,SPADE
281,O35343,0.0,1.6666666666666667,SPADE
283,O35345,0.0,2.1666666666666665,SPADE
284,O35350,1.0,2.3333333333333335,SPADE
285,O35375,1.0,1.3333333333333333,SPADE
287,O35381,1.0,1.8333333333333333,SPADE
288,O35382,1.6666666666666667,1.0,CCprofiler
290,O35405,0.0,1.3333333333333333,SPADE
291,O35435,1.4,1.6666666666666667,SPADE
292,O35448,1.0,1.1666666666666667,SPADE
293,O35459,1.0,1.1666666666666667,SPADE
294,O35465,1.0,2.1666666666666665,SPADE
296,O35551,1.75,1.1666666666666667,CCprofiler
297,O35593,1.0,2.3333333333333335,SPADE
298,O35598,1.8333333333333333,2.1666666666666665,SPADE
299,O35601,1.0,2.6666666666666665,SPADE
300,O35604,1.0,1.8333333333333333,SPADE
301,O35609,1.0,1.1666666666666667,SPADE
302,O35638,2.1666666666666665,2.0,CCprofiler
304,O35643,2.6,2.0,CCprofiler
305,O35654,1.0,1.8333333333333333,SPADE
306,O35657,1.6,1.0,CCprofiler
308,O35671,0.0,1.0,SPADE
309,O35678,1.0,2.0,SPADE
310,O35685,1.3333333333333333,1.0,CCprofiler
311,O35691,0.0,1.5,SPADE
312,O35704,1.0,1.1666666666666667,SPADE
313,O35711,1.2,1.8333333333333333,SPADE
314,O35730,0.0,3.5,SPADE
315,O35737,0.0,3.3333333333333335,SPADE
317,O35841,1.5,1.0,CCprofiler
319,O35857,1.0,2.3333333333333335,SPADE
323,O35904,2.2,3.0,SPADE
324,O35954,1.0,1.6,SPADE
325,O35955,1.4,1.0,CCprofiler
326,O35963,0.0,2.0,SPADE
328,O35972,0.0,1.0,SPADE
329,O35984,1.0,2.0,SPADE
330,O54692,2.0,1.0,CCprofiler
331,O54734,1.25,1.3333333333333333,SPADE
332,O54774,1.4,2.0,SPADE
333,O54781,0.0,1.5,SPADE
334,O54782,1.1666666666666667,1.0,CCprofiler
335,O54784,0.0,1.1666666666666667,SPADE
336,O54786,1.0,1.1666666666666667,SPADE
338,O54804,0.0,1.1666666666666667,SPADE
339,O54824,1.0,1.1666666666666667,SPADE
340,O54825,1.0,1.6,SPADE
344,O54890,0.0,1.0,SPADE
345,O54901,1.5,1.6,SPADE
346,O54910,0.0,1.3333333333333333,SPADE
347,O54916,1.0,2.5,SPADE
349,O54940,0.0,1.3333333333333333,SPADE
350,O54941,1.3333333333333333,1.0,CCprofiler
351,O54950,1.0,2.2,SPADE
352,O54962,2.0,1.1666666666666667,CCprofiler
353,O54984,0.0,3.0,SPADE
354,O54988,2.3333333333333335,1.6666666666666667,CCprofiler
355,O55013,1.0,1.3333333333333333,SPADE
356,O55022,0.0,1.1666666666666667,SPADE
357,O55023,0.0,1.0,SPADE
359,O55029,3.1666666666666665,1.5,CCprofiler
361,O55091,0.0,2.0,SPADE
362,O55098,1.8333333333333333,2.0,SPADE
363,O55102,0.0,1.0,SPADE
364,O55106,1.6,2.8333333333333335,SPADE
365,O55125,0.0,1.3333333333333333,SPADE
367,O55128,1.0,1.3333333333333333,SPADE
368,O55131,3.0,1.1666666666666667,CCprofiler
369,O55135,0.0,1.0,SPADE
370,O55142,0.0,1.1666666666666667,SPADE
371,O55143,1.25,1.0,CCprofiler
372,O55201,1.6,1.5,CCprofiler
373,O55222,1.6,1.6666666666666667,SPADE
375,O55234,1.4,1.0,CCprofiler
376,O55236,0.0,1.5,SPADE
377,O70133,2.1666666666666665,2.5,SPADE
378,O70138,2.0,1.6666666666666667,CCprofiler
379,O70145,1.0,2.4,SPADE
380,O70152,1.0,1.1666666666666667,SPADE
381,O70161,0.0,1.6666666666666667,SPADE
382,O70172,0.0,2.1666666666666665,SPADE
383,O70194,3.0,2.1666666666666665,CCprofiler
384,O70250,2.0,1.0,CCprofiler
385,O70251,1.0,2.3333333333333335,SPADE
386,O70252,1.0,2.0,SPADE
387,O70293,0.0,1.5,SPADE
390,O70310,1.2,2.0,SPADE
391,O70311,2.0,1.8333333333333333,CCprofiler
392,O70318,1.25,1.3333333333333333,SPADE
393,O70325,0.0,1.6666666666666667,SPADE
396,O70378,1.0,2.1666666666666665,SPADE
398,O70404,0.0,1.0,SPADE
399,O70435,1.3333333333333333,1.0,CCprofiler
400,O70439,1.3333333333333333,1.6666666666666667,SPADE
401,O70469,0.0,1.2,SPADE
402,O70475,2.0,1.6666666666666667,CCprofiler
404,O70481,1.0,1.8333333333333333,SPADE
406,O70493,1.0,0.0,CCprofiler
409,O70566,1.2,1.6666666666666667,SPADE
410,O70572,1.0,1.1666666666666667,SPADE
411,O70579,0.0,1.0,SPADE
412,O70591,0.0,1.25,SPADE
413,O88188,1.0,2.2,SPADE
