peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
5734,Q9JKB1,Uchl3,10min,37,246860923.33333328,9,882451259.6666665,32.0,40.0,4966.364250457519,-0.2222222222222222,27428991.481481478,882451259.6666665
5735,Q9JKB3,Ybx3,10min,11,656660.3333333333,8,2695910.9999999995,7.0,14.0,13.210735664942023,-0.125,82082.54166666666,47057625.88888889
5736,Q9JKB3,Ybx3,10min,30,3922256.666666666,18,38856406.88888889,20.0,37.0,78.90821693212769,-0.16666666666666666,217903.14814814812,47057625.88888889
5737,Q9JKC7,Ap4m1,10min,6,3676596.111111111,13,24491074.0,1.0,13.0,73.96600175937134,0.15384615384615385,282815.08547008544,34642153.00000001
5738,Q9JKC7,Ap4m1,10min,19,1269986.222222222,14,10492199.0,13.0,26.0,25.549666133677576,0.07142857142857142,90713.30158730157,34642153.00000001
5739,Q9JKC8,Ap3m1,10min,10,28033471.11111111,19,260928944.44444445,1.0,19.0,563.9792108954514,0.0,1475445.8479532162,364206314.4444445
5740,Q9JKC8,Ap3m1,10min,39,20817200.0,6,67815840.0,35.0,40.0,418.8017952724891,-0.5,3469533.3333333335,364206314.4444445
5741,Q9JKF1,Iqgap1,10min,9,216786694.4444444,13,1630237581.1111107,1.0,13.0,4361.328940708733,-0.3076923076923077,16675899.572649568,8485774710.555553
5742,Q9JKF1,Iqgap1,10min,20,1185827072.222222,17,6955331027.222219,13.0,29.0,23856.546832877917,0.11764705882352941,69754533.66013071,8485774710.555553
5743,Q9JKF4,Clec6a,10min,7,138707378.14814845,16,1246267819.4074087,1.0,16.0,2790.524133216023,0.1875,8669211.134259278,1459487195.5185196
5744,Q9JKF7,Mrpl39,10min,8,45786768.88888888,13,305203941.11111104,1.0,13.0,921.1412202598435,-0.15384615384615385,3522059.1452991446,314293734.44444436
5745,Q9JKF7,Mrpl39,10min,38,3488693.333333333,6,9089793.333333332,35.0,40.0,70.18576134903657,-0.16666666666666666,581448.8888888889,314293734.44444436
5746,Q9JKK1,Stx6,10min,7,10814807.777777776,16,81367975.55555555,1.0,16.0,217.5730123580602,0.1875,675925.486111111,188368908.88888887
5747,Q9JKK1,Stx6,10min,38,29518118.888888884,9,105592703.33333331,32.0,40.0,593.8474522862554,-0.4444444444444444,3279790.9876543204,188368908.88888887
5748,Q9JKL4,Ndufaf3,10min,7,7641155.555555554,16,64993900.66666666,1.0,16.0,153.72526875002498,0.1875,477572.22222222213,83376473.22222222
5749,Q9JKL4,Ndufaf3,10min,38,3579791.222222221,7,10981408.22222222,34.0,40.0,72.01847465400554,-0.2857142857142857,511398.74603174586,83376473.22222222
5750,Q9JKN1,Slc30a7,10min,5,100252047.2222222,14,715147355.2222221,1.0,14.0,2016.877262859991,0.35714285714285715,7160860.515873014,719153291.8888887
5751,Q9JKR6,Hyou1,10min,8,93805516.66666666,13,630864003.8888887,1.0,13.0,1887.185538231049,-0.15384615384615385,7215808.974358974,7051086117.777779
5752,Q9JKR6,Hyou1,10min,20,1264431111.111111,17,6435190852.222221,13.0,29.0,25437.908043911833,0.11764705882352941,74378300.65359476,7051086117.777779
5753,Q9JKV1,Adrm1,10min,8,22444065.555555552,14,153583232.88888887,1.0,14.0,451.53118324655094,-0.07142857142857142,1603147.5396825394,168680458.5555555
5754,Q9JKW0,Arl6ip1,10min,5,71215373.7037037,8,409077767.88888896,1.0,8.0,1432.7155601191478,-0.125,8901921.712962963,870414931.1481481
5755,Q9JKX6,Nudt5,10min,8,54980811.111111104,14,489895656.6666665,1.0,14.0,1106.1075648440205,-0.07142857142857142,3927200.7936507934,1048476943.3333328
5756,Q9JKX6,Nudt5,10min,20,34577077.777777776,9,258396763.33333328,14.0,22.0,695.6239190962194,-0.4444444444444444,3841897.5308641973,1048476943.3333328
5757,Q9JKX6,Nudt5,10min,35,24485088.888888888,12,193312128.88888887,28.0,39.0,492.5926245639731,-0.25,2040424.074074074,1048476943.3333328
5758,Q9JKY0,Cnot9,10min,8,38200011.111111104,14,327397494.4444444,1.0,14.0,768.5103295718137,-0.07142857142857142,2728572.2222222215,449733273.3333334
5759,Q9JL26,Fmnl1,10min,5,205506477.77777773,14,1852867137.333333,1.0,14.0,4134.392801791749,0.35714285714285715,14679034.126984123,2207661892.8888884
5760,Q9JL35,Hmgn5,10min,17,73347169.99999999,19,478359286.5,8.0,26.0,1475.6031778604447,0.0,3860377.3684210517,478359286.5
5761,Q9JL62,Gltp,10min,10,27565535.555555552,14,225994676.11111107,1.0,14.0,554.5652526907699,-0.35714285714285715,1968966.825396825,569111458.3333334
5762,Q9JL62,Gltp,10min,19,21789577.777777776,11,221930169.99999994,14.0,24.0,438.36415519680196,0.0,1980870.7070707069,569111458.3333334
5763,Q9JLB0,Pals2,10min,20,1587562.8888888883,9,8182543.777777777,15.0,23.0,31.938694347685832,-0.2222222222222222,176395.8765432098,96203229.0
5764,Q9JLB0,Pals2,10min,31,10526013.333333332,13,53482494.99999999,23.0,35.0,211.7630267789211,-0.3076923076923077,809693.3333333333,96203229.0
5765,Q9JLB0,Pals2,10min,38,12840759.999999996,6,36356283.33333332,35.0,40.0,258.3312520734376,-0.16666666666666666,2140126.666666666,96203229.0
5766,Q9JLC8,Sacs,10min,4,2992437.333333333,9,12171519.333333332,1.0,9.0,60.202050585113255,0.2222222222222222,332493.037037037,12171519.333333332
5767,Q9JLI6,Scly,10min,32,320316733.3333333,18,1573986686.6666667,22.0,39.0,6444.153054965083,-0.16666666666666666,17795374.074074075,1578333080.0
5768,Q9JLI8,Sart3,10min,14,60162377.777777776,18,465460523.1111111,6.0,23.0,1210.3506629707663,0.05555555555555555,3342354.3209876544,499344316.111111
