peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
4631,Q99NB9,Sf3b1,30min,9,122030565.0,14,756269179.4444443,1.0,14.0,3028.399189827522,-0.21428571428571427,8716468.92857143,902660422.2222221
4632,Q99NB9,Sf3b1,30min,17,30617621.11111111,10,164228191.66666663,14.0,23.0,759.8291376208487,0.3,3061762.111111111,902660422.2222221
4633,Q99NH8,Trem2,30min,6,7209975.555555555,14,62609977.22222221,1.0,14.0,178.92799341804803,0.21428571428571427,514998.2539682539,100219657.33333331
4634,Q99NH8,Trem2,30min,16,2793078.222222222,8,19402870.333333332,14.0,21.0,69.3150591026328,0.375,349134.77777777775,100219657.33333331
4635,Q99NH8,Trem2,30min,24,2685542.444444444,13,21942755.555555552,21.0,33.0,66.64637308696372,0.46153846153846156,206580.188034188,100219657.33333331
4636,Q99P31,Hspbp1,30min,9,5384032.222222222,7,31394358.777777772,8.0,14.0,133.61405660772817,0.5714285714285714,769147.4603174602,221403262.66666666
4637,Q99P31,Hspbp1,30min,27,19425425.555555552,20,160322604.99999997,17.0,36.0,482.07547850408855,-0.05,971271.2777777776,221403262.66666666
4638,Q99P65,Slc29a3,30min,4,6428478.888888888,13,39110008.84444443,1.0,13.0,159.53380416565668,0.46153846153846156,494498.376068376,39378976.15555554
4639,Q99P72,Rtn4,30min,9,68621130.37037036,17,717401633.8888888,1.0,17.0,1702.9518434064316,0.0,4036537.080610021,958660114.1666666
4640,Q99P72,Rtn4,30min,20,30390439.44444444,13,260271406.11111104,17.0,29.0,754.1912322708488,0.46153846153846156,2337726.111111111,958660114.1666666
4641,Q99P88,Nup155,30min,6,14245278.888888888,14,100802578.22222221,1.0,14.0,353.5211940219912,0.21428571428571427,1017519.9206349206,121557179.2222222
4642,Q99P88,Nup155,30min,32,1984434.3333333333,12,9962446.777777778,28.0,39.0,49.247164653647104,0.25,165369.52777777778,121557179.2222222
4643,Q99P91,Gpnmb,30min,17,965044805.5555568,10,7604373853.703707,13.0,22.0,23949.25326529224,0.1,96504480.55555567,16825701742.5926
4644,Q99P91,Gpnmb,30min,24,600764831.4814813,12,4526659564.074072,22.0,33.0,14909.016679021242,0.5833333333333334,50063735.95679011,16825701742.5926
4645,Q99PG2,Ogfr,30min,24,5936867.11111111,17,38200116.722222224,15.0,31.0,147.3336089970783,-0.11764705882352941,349227.477124183,40312695.49999999
4646,Q99PG2,Ogfr,30min,34,679136.6666666666,7,2309026.6666666665,31.0,37.0,16.853949099682502,0.0,97019.5238095238,40312695.49999999
4647,Q99PL5,Rrbp1,30min,7,1172481722.222222,16,5548509628.555556,1.0,16.0,29097.158549297506,0.1875,73280107.63888888,5638563340.88889
4648,Q99PL6,Ubxn6,30min,32,42049033.33333333,13,219244479.99999997,26.0,38.0,1043.519371394348,0.0,3234541.025641025,219244479.99999997
4649,Q99PM9,Uck2,30min,8,17203036.666666664,9,117893162.22222221,5.0,13.0,426.92306066030653,0.2222222222222222,1911448.5185185182,246993975.0
4650,Q99PM9,Uck2,30min,15,7900037.777777776,11,50727211.88888888,13.0,23.0,196.05307904481992,0.5454545454545454,718185.2525252524,246993975.0
4651,Q99PM9,Uck2,30min,30,9700078.888888888,14,52302603.22222222,23.0,36.0,240.72420748338058,-0.07142857142857142,692862.7777777778,246993975.0
4652,Q99PP7,Trim33,30min,9,3541240.444444444,12,25807153.666666664,1.0,12.0,87.88199655504347,-0.4166666666666667,295103.37037037034,111918806.99999999
4653,Q99PP7,Trim33,30min,17,13880272.22222222,14,88476395.2222222,12.0,25.0,344.46292330420033,0.21428571428571427,991448.0158730157,111918806.99999999
4654,Q99PP9,Trim16,30min,18,22881840.0,16,141453260.0,11.0,26.0,567.8523713936995,0.0625,1430115.0,141453260.0
4655,Q99PT1,Arhgdia,30min,36,771275983.3333333,14,3139999849.4444437,27.0,40.0,19140.545346652227,-0.35714285714285715,55091141.666666664,3139999849.4444437
4656,Q99PV0,Prpf8,30min,9,74003244.44444443,18,546714679.1111109,1.0,18.0,1836.5182978556527,0.05555555555555555,4111291.3580246908,550425198.111111
4657,Q9BCZ4,Selenos,30min,6,8077404.444444444,12,47246639.999999985,1.0,12.0,200.4547391505135,0.08333333333333333,673117.037037037,47246639.999999985
4658,Q9CPP0,Npm3,30min,19,22080711.11111111,20,226896410.8888889,9.0,28.0,547.9709746464293,-0.05,1104035.5555555555,237269120.33333337
4659,Q9CPQ8,Atp5mg,30min,5,128465205.55555557,14,815129754.4444444,1.0,14.0,3188.085906391326,0.35714285714285715,9176086.111111112,876022090.5555555
4660,Q9CPR1,Rwdd4,30min,31,5693151.11111111,8,20238731.111111112,27.0,34.0,141.28537561433518,-0.125,711643.8888888888,35953929.55555555
4661,Q9CPR1,Rwdd4,30min,38,4187072.111111111,7,16078199.555555552,34.0,40.0,103.90942456947816,-0.2857142857142857,598153.1587301587,35953929.55555555
4662,Q9CPR4,Rpl17,30min,3,42007700.49999999,10,175322418.11111116,1.0,10.0,1042.49362576267,0.5,4200770.049999999,183788182.11111122
4663,Q9CPR5,Mrpl15,30min,7,39905521.111111104,13,219089248.8888889,1.0,13.0,990.3244142361707,0.0,3069655.4700854695,219089248.8888889
4664,Q9CPR7,Sike1,30min,4,6778761.11111111,6,28756889.33333333,1.0,6.0,168.22666236875327,-0.16666666666666666,1129793.5185185184,128193172.77777778
4665,Q9CPR7,Sike1,30min,10,18011260.0,14,104425935.66666667,6.0,19.0,446.9805182969763,0.35714285714285715,1286518.5714285714,128193172.77777778
4666,Q9CPS6,Hint3,30min,7,13135304.444444444,14,99640991.66666666,1.0,14.0,325.975261506766,0.07142857142857142,938236.0317460317,135321377.44444445
